file,tag,step,value,wall_time
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,10,1.4535589798470028e-06,1788149359.6575196
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,20,5.476491423905827e-06,1788149444.625098
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,30,1.024357698042877e-05,1788149546.7194374
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,40,1.2887342563772108e-05,1788149643.3579557
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,50,1.2553875421872362e-05,1788149736.008643
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,60,1.2691974006884266e-05,1788149822.589092
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,70,8.923065252020024e-06,1788149930.1067092
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,80,3.3286896723438986e-06,1788150017.0774791
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,90,1.9497783796396106e-05,1788150107.871728
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,100,4.585479473462328e-05,1788150199.8107014
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,110,7.353738328674808e-05,1788150301.2575455
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,120,0.00010304529132554308,1788150402.7805555
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,130,0.00012879533460363746,1788150482.7384717
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,140,0.0001501268707215786,1788150583.652717
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,150,0.00017058894445654005,1788150680.0682366
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,160,0.0001942188828252256,1788150781.7846246
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,170,0.00022514874581247568,1788150892.8240778
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,180,0.00027086015325039625,1788150975.1008108
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,190,0.0002906763111241162,1788151052.986884
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,200,0.0003011944645550102,1788151137.4053378
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,210,0.00034735759254544973,1788151229.0748749
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,220,0.000389901630114764,1788151323.4935184
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,230,0.0004039493214804679,1788151427.5932846
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,240,0.0004239590198267251,1788151527.0764704
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,250,0.000429518026066944,1788151611.4761994
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,260,0.0004381903272587806,1788151684.8261218
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,270,0.00044929803698323667,1788151780.1594048
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,280,0.00045548786874860525,1788151878.7081265
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,290,0.0004657050594687462,1788151965.4588528
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,300,0.0004710335051640868,1788152044.5003946
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,310,0.00044746435014531016,1788152141.2982743
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,320,0.0004371344984974712,1788152233.9187238
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,330,0.0004108309803996235,1788152340.9143708
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,340,0.0003721417160704732,1788152434.7012937
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,350,0.00034351623617112637,1788152531.8706791
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,360,0.0003396605607122183,1788152617.2746341
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,370,0.0003633187443483621,1788152709.0042136
